CustomerID,Recency,Frequency,Monetary,Cluster,ClusterLabel,ChurnFlag_Tukey,ChurnFlag_Q3,ChurnFlag
12386.0,337,2,401.9,0,Churn Risk,Churned,Churned,Churned
12441.0,366,1,173.55,0,Churn Risk,Churned,Churned,Churned
12489.0,335,1,334.93,0,Churn Risk,Churned,Churned,Churned
12501.0,336,1,2169.39,0,Churn Risk,Churned,Churned,Churned
12515.0,352,1,383.7,0,Churn Risk,Churned,Churned,Churned
12551.0,357,1,168.0,0,Churn Risk,Churned,Churned,Churned
12651.0,334,1,114.0,0,Churn Risk,Churned,Churned,Churned
12652.0,330,1,919.98,0,Churn Risk,Churned,Churned,Churned
12672.0,329,1,225.89999999999998,0,Churn Risk,Churned,Churned,Churned
12686.0,371,1,89.14,0,Churn Risk,Churned,Churned,Churned
12725.0,370,1,427.8,0,Churn Risk,Churned,Churned,Churned
12734.0,352,1,110.39999999999999,0,Churn Risk,Churned,Churned,Churned
12736.0,332,1,234.0,0,Churn Risk,Churned,Churned,Churned
12738.0,371,1,155.35,0,Churn Risk,Churned,Churned,Churned
12785.0,363,1,311.95,0,Churn Risk,Churned,Churned,Churned
12791.0,373,1,192.60000000000002,0,Churn Risk,Churned,Churned,Churned
12793.0,334,2,545.48,0,Churn Risk,Churned,Churned,Churned
12797.0,365,1,254.03,0,Churn Risk,Churned,Churned,Churned
12829.0,336,2,293.0,0,Churn Risk,Churned,Churned,Churned
12855.0,372,1,38.1,0,Churn Risk,Churned,Churned,Churned
12967.0,357,2,1660.9,0,Churn Risk,Churned,Churned,Churned
13011.0,371,1,50.550000000000004,0,Churn Risk,Churned,Churned,Churned
13033.0,356,1,190.55,0,Churn Risk,Churned,Churned,Churned
13065.0,372,1,205.86,0,Churn Risk,Churned,Churned,Churned
13108.0,372,1,350.06,0,Churn Risk,Churned,Churned,Churned
13144.0,332,1,110.95,0,Churn Risk,Churned,Churned,Churned
13187.0,336,1,236.02,0,Churn Risk,Churned,Churned,Churned
13270.0,365,1,590.0,0,Churn Risk,Churned,Churned,Churned
13284.0,330,1,201.19,0,Churn Risk,Churned,Churned,Churned
13295.0,359,1,201.20000000000002,0,Churn Risk,Churned,Churned,Churned
13304.0,350,1,300.42,0,Churn Risk,Churned,Churned,Churned
13369.0,365,1,308.28000000000003,0,Churn Risk,Churned,Churned,Churned
13370.0,371,1,754.87,0,Churn Risk,Churned,Churned,Churned
13385.0,329,1,534.57,0,Churn Risk,Churned,Churned,Churned
13747.0,373,1,79.6,0,Churn Risk,Churned,Churned,Churned
13786.0,366,1,230.39999999999998,0,Churn Risk,Churned,Churned,Churned
13807.0,366,1,112.6,0,Churn Risk,Churned,Churned,Churned
13874.0,357,1,540.45,0,Churn Risk,Churned,Churned,Churned
13922.0,351,1,172.25,0,Churn Risk,Churned,Churned,Churned
13948.0,360,1,102.0,0,Churn Risk,Churned,Churned,Churned
14082.0,364,1,182.25,0,Churn Risk,Churned,Churned,Churned
14142.0,372,1,311.81,0,Churn Risk,Churned,Churned,Churned
14185.0,330,1,197.65,0,Churn Risk,Churned,Churned,Churned
14237.0,372,1,161.0,0,Churn Risk,Churned,Churned,Churned
14270.0,331,1,492.65000000000003,0,Churn Risk,Churned,Churned,Churned
14355.0,365,1,174.4,0,Churn Risk,Churned,Churned,Churned
14373.0,357,1,76.55,0,Churn Risk,Churned,Churned,Churned
14413.0,361,1,121.05,0,Churn Risk,Churned,Churned,Churned
14437.0,365,1,63.0,0,Churn Risk,Churned,Churned,Churned
14576.0,371,1,35.400000000000006,0,Churn Risk,Churned,Churned,Churned
14589.0,371,1,39.75,0,Churn Risk,Churned,Churned,Churned
14729.0,373,1,313.49,0,Churn Risk,Churned,Churned,Churned
14813.0,369,2,152.88,0,Churn Risk,Churned,Churned,Churned
14821.0,366,1,48.800000000000004,0,Churn Risk,Churned,Churned,Churned
14889.0,335,1,135.9,0,Churn Risk,Churned,Churned,Churned
14932.0,365,1,363.53,0,Churn Risk,Churned,Churned,Churned
15070.0,372,1,106.2,0,Churn Risk,Churned,Churned,Churned
15100.0,333,3,876.0,0,Churn Risk,Churned,Churned,Churned
15160.0,356,1,158.16,0,Churn Risk,Churned,Churned,Churned
15165.0,372,1,487.75,0,Churn Risk,Churned,Churned,Churned
15171.0,330,1,1289.5,0,Churn Risk,Churned,Churned,Churned
15180.0,366,1,87.5,0,Churn Risk,Churned,Churned,Churned
15204.0,356,1,316.58,0,Churn Risk,Churned,Churned,Churned
15221.0,365,1,403.25,0,Churn Risk,Churned,Churned,Churned
15224.0,357,2,322.08,0,Churn Risk,Churned,Churned,Churned
15266.0,337,1,119.3,0,Churn Risk,Churned,Churned,Churned
15279.0,354,1,290.51,0,Churn Risk,Churned,Churned,Churned
15326.0,333,1,311.71,0,Churn Risk,Churned,Churned,Churned
15332.0,365,4,1661.06,0,Churn Risk,Churned,Churned,Churned
15346.0,332,1,252.42000000000002,0,Churn Risk,Churned,Churned,Churned
15347.0,365,1,201.60000000000002,0,Churn Risk,Churned,Churned,Churned
