CustomerID,Recency,Frequency,Monetary,Segment,PCA1,PCA2,SegmentLabel,ChurnStatus,ValueCategory,MarketingSegment,Rank
14646.0,1,73,280206.02,1,25.933638885287998,12.883090436401318,High Value,Active,High Value,Champions,1.0
18102.0,0,60,259657.3,1,23.35210182464261,11.726106824605397,High Value,Active,High Value,Champions,2.0
17450.0,7,46,194390.79,1,17.507810252689467,8.610752095748262,High Value,Active,High Value,Champions,3.0
16446.0,0,2,168472.5,1,11.852232621992998,6.6268036664617584,High Value,Active,High Value,Champions,4.0
14911.0,0,201,143711.17,1,27.567131219061896,8.919688317707696,High Value,Active,High Value,Champions,5.0
12415.0,23,21,124914.53,1,10.368306954060222,5.198901270352006,High Value,Active,High Value,Champions,6.0
14156.0,9,55,117210.08,1,12.862287470170976,5.3075305964742245,High Value,Active,High Value,Champions,7.0
17511.0,2,31,91062.38,1,8.94496214349844,3.65575302968217,High Value,Active,High Value,Champions,8.0
16029.0,38,63,80850.84,1,10.896822207482028,4.069707556436899,High Value,Active,High Value,Champions,9.0
12346.0,325,1,77183.6,0,4.10755358369739,5.439993236315901,Churn Risk,Active,High Value,Champions,10.0
