CustomerID,Recency,Frequency,Monetary,Segment,PCA1,PCA2,SegmentLabel,GPR_Predicted_Monetary,GPR_Uncertainty
12346.0,325,1,77183.6,0,4.107553583697384,5.439993236315887,Churn Risk,2892.139093450977,3830.4770432815694
12347.0,1,7,4310.0,0,0.7430439297398064,-0.6707557125182558,Churn Risk,3324.1164194037087,3846.6540799679824
12348.0,74,4,1797.24,0,0.025229649381672617,-0.17467490673720418,Churn Risk,1555.0166658682404,3841.582311365726
12349.0,18,1,1757.55,0,-0.027490801829762795,-0.7346032008154803,Churn Risk,493.6927016978482,3789.484115398536
12350.0,309,1,334.4,0,-1.2355926551807868,1.8346850586250087,Churn Risk,-104.81774293298076,3815.5602595124988
12352.0,35,8,2506.04,0,0.574447912067185,-0.4271836538142373,Churn Risk,3366.8286583855397,3915.89288429805
12353.0,203,1,89.0,0,-0.8492386842218469,0.8643992940851732,Churn Risk,421.5285944764719,3828.4384230529195
12354.0,231,1,1079.4,0,-0.8862074546365428,1.162379923954938,Churn Risk,251.54285293295857,3823.523684851989
12355.0,213,1,459.4,0,-0.8612684699517157,0.9715723049881613,Churn Risk,433.61484751585385,3815.390835720011
12356.0,22,3,2811.43,0,0.20682635276875452,-0.6166993240871668,Churn Risk,1087.374817024478,3789.6674633058065
12357.0,32,1,6207.67,0,0.23213647794423747,-0.40752291797141676,Churn Risk,476.317968513672,3789.9191808408495
12358.0,1,2,1168.06,0,0.08350523755515471,-0.8978625049517854,Churn Risk,7231.293742021064,3824.7700777767723
12359.0,57,4,6310.03,0,0.4073009737372971,-0.12530370479198855,Churn Risk,1692.0978173598867,3831.4140432546487
12360.0,51,3,2662.06,0,0.08590082153852288,-0.3609931237146258,Churn Risk,1130.5741642663065,3818.7130475046347
12361.0,286,1,189.9,0,-1.1581780712063239,1.6200422418937699,Churn Risk,192.75630182606506,3812.7662941186336
12362.0,2,10,5226.23,0,1.0668236447811044,-0.5690733249176684,Churn Risk,2805.1808388812215,3869.2294981293335
12363.0,109,2,552.0,0,-0.371042263258347,0.05173051441958452,Churn Risk,757.9803452651356,3858.1599022823925
12364.0,7,4,1313.1,0,0.2462970804459204,-0.8027848938372399,Churn Risk,1503.2992497544492,3798.363095704946
12365.0,290,2,641.38,0,-1.0539411677758326,1.693694999251724,Churn Risk,641.1628277334473,4210.850098951749
12367.0,3,1,168.9,0,-0.08209064082545015,-0.9418809378542187,Churn Risk,67.20067459564439,3816.6976287202488
12370.0,50,4,3541.94,0,0.23930123212514925,-0.31329647617207834,Churn Risk,1501.1291514854897,3835.673340303938
12371.0,44,2,1887.96,0,-0.02959991658139923,-0.4763216250817953,Churn Risk,704.0564424360125,3801.816552975829
12372.0,71,3,1298.04,0,-0.08617059205355622,-0.24142710409696308,Churn Risk,1181.3201809150225,3822.25547710441
12373.0,310,1,364.6,0,-1.237276625477619,1.8450943546531322,Churn Risk,-98.88563348697608,3815.2079202956347
12374.0,24,1,742.9300000000001,0,-0.12168519717937633,-0.7259951751512147,Churn Risk,139.1115655447295,3787.4294291841466
12375.0,10,2,457.5,0,-0.0007304702387384993,-0.8484144917043246,Churn Risk,-238.44533475096114,3789.4397076953273
12377.0,314,2,1628.12,0,-1.0759367221302005,1.9553132568486484,Churn Risk,507.0851751390351,3965.0253089833996
12378.0,129,1,4008.62,0,-0.2918434370703542,0.37124479659375553,Churn Risk,471.94155933054276,3818.923672891972
12379.0,81,2,852.24,0,-0.2433151363430067,-0.18813262225630856,Churn Risk,1003.1287692847366,3824.5351897971746
12380.0,21,4,2724.81,0,0.2922620702125428,-0.6125241520698446,Churn Risk,1361.3737546716347,3797.1931328280507
12381.0,4,5,1845.31,0,0.3828644824289612,-0.7888426006625082,Churn Risk,1805.4161028114586,3807.9597477835164
