CustomerID,Recency,Frequency,Monetary,Segment,PCA1,PCA2,SegmentLabel,ChurnStatus,ValueCategory,MarketingSegment,Rank
16738.0,297,1,3.75,0,-1.2131523380468472,1.711203208147772,Churn Risk,Active,Low Value,New / Occasional,4256.0
14792.0,63,1,6.2,0,-0.3219906067462897,-0.4062438773770201,Churn Risk,Active,Low Value,New / Occasional,4255.0
16454.0,44,2,6.9,0,-0.16187685986465566,-0.5610257189788258,Churn Risk,Active,Low Value,New / Occasional,4254.0
17956.0,248,1,12.75,0,-1.0259447410953637,1.2681883367707154,Churn Risk,Active,Low Value,New / Occasional,4253.0
16878.0,83,1,13.3,0,-0.3976442758355149,-0.22493635178714125,Churn Risk,Active,Low Value,New / Occasional,4252.0
13307.0,119,1,15.0,0,-0.5346000305324087,0.10091826209790022,Churn Risk,Active,Low Value,New / Occasional,4251.0
15823.0,371,1,15.0,0,-1.4941271264974727,2.3813647025329727,Churn Risk,Churned,Low Value,Lost Customers,4251.0
17763.0,262,1,15.0,0,-1.0790935810205204,1.394981123138438,Churn Risk,Active,Low Value,New / Occasional,4251.0
16093.0,106,1,17.0,0,-0.48495997599674556,-0.01663375621881187,Churn Risk,Active,Low Value,New / Occasional,4250.0
16953.0,29,1,20.8,0,-0.19150392349417275,-0.7132657213172089,Churn Risk,Active,Low Value,New / Occasional,4249.0
